tail_number,origin,destination,departure_time,arrival_time
T1,AUS,HOU,0600,0645
T1,HOU,DAL,0720,0825
T1,DAL,AUS,0855,0945
T1,AUS,DAL,1010,1100
T1,DAL,AUS,1130,1220
T1,AUS,DAL,1245,1335
T1,DAL,AUS,1405,1455
T1,AUS,DAL,1520,1610
T1,DAL,AUS,1640,1730
T1,AUS,HOU,1755,1840
T1,HOU,DAL,1915,2020
T1,DAL,HOU,2050,2155
T2,DAL,HOU,0600,0705
T2,HOU,AUS,0740,0825
T2,AUS,DAL,0850,0940
T2,DAL,AUS,1010,1100
T2,AUS,HOU,1125,1210
T2,HOU,AUS,1301,1346
T2,AUS,HOU,1411,1456
T2,HOU,DAL,1531,1636
T2,DAL,AUS,1706,1756
T2,AUS,HOU,1821,1906
T2,HOU,DAL,1941,2046
T3,DAL,HOU,0600,0705
T3,HOU,DAL,0740,0845
T3,DAL,HOU,0915,1020
T3,HOU,DAL,1055,1200
T3,DAL,AUS,1230,1320
T3,AUS,DAL,1345,1435
T3,DAL,AUS,1505,1555
T3,AUS,DAL,1620,1710
T3,DAL,AUS,1740,1830
T3,AUS,DAL,1855,1945
T3,DAL,AUS,2015,2105
T4,HOU,AUS,0600,0645
T4,AUS,HOU,0710,0755
T4,HOU,AUS,0830,0915
T4,AUS,HOU,0940,1025
T4,HOU,DAL,1100,1205
T4,DAL,HOU,1235,1340
T4,HOU,DAL,1415,1520
T4,DAL,HOU,1550,1655
T4,HOU,DAL,1730,1835
T4,DAL,AUS,1905,1955
T4,AUS,DAL,2020,2110
T5,HOU,DAL,0600,0705
T5,DAL,HOU,0735,0840
T5,HOU,DAL,0915,1020
T5,DAL,AUS,1050,1140
T5,AUS,DAL,1205,1255
T5,DAL,AUS,1325,1415
T5,AUS,DAL,1440,1530
T5,DAL,HOU,1600,1705
T5,HOU,DAL,1740,1845
T5,DAL,HOU,1915,2020
T6,HOU,DAL,0600,0705
T6,DAL,HOU,0735,0840
T6,HOU,DAL,0915,1020
T6,DAL,HOU,1050,1155
T6,HOU,DAL,1230,1335
T6,DAL,HOU,1405,1510
T6,HOU,AUS,1545,1630
T6,AUS,DAL,1655,1745
T6,DAL,AUS,1815,1905
T6,AUS,HOU,1930,2015
